PKEY,TOKEN,0_,1_,2_,3_,4_,5_,6_,7_,8_
8,practic,0.38,0.43,0.23,0.16,0.22,0.36,0.49,0.29,0.34
30,potenti,0.43,0.41,0.42,0.84,0.39,0.45,0.58,0.15,0.39
41,power,0.37,0.34,0.26,0.64,0.44,0.14,0.14,0.82,0.13
51,prefer,0.58,0.66,0.55,0.79,0.22,0.60,0.60,0.38,0.58
64,prelud,0.02,0.05,0.08,0.02,0.14,0.05,0.05,0.06,0.04
83,predefin,0.10,0.07,0.09,0.03,0.08,0.02,0.16,0.12,0.14
87,predetermin,0.27,0.27,0.22,0.12,0.17,0.21,0.42,0.62,0.37
91,predict,0.15,0.10,0.01,0.64,0.06,0.12,0.33,0.15,0.05
128,point,0.63,0.71,0.82,0.78,0.39,0.52,0.56,0.82,0.61
140,polici,0.13,0.10,0.04,0.67,0.06,0.02,0.19,0.26,0.14
149,possess,0.14,0.35,0.21,0.05,0.25,0.02,0.05,0.18,0.10
151,possibl,0.58,0.61,0.40,0.72,0.53,0.50,0.60,0.12,0.48
152,post,0.19,0.08,0.13,0.03,0.36,0.26,0.07,0.12,0.21
167,posit,0.37,0.36,0.34,0.12,0.22,0.19,0.42,0.88,0.31
175,popul,0.14,0.08,0.10,0.71,0.03,0.10,0.14,0.09,0.08
181,port,0.18,0.16,0.12,0.05,0.19,0.07,0.07,0.24,0.09
182,portabl,0.28,0.28,0.35,0.03,0.39,0.19,0.09,0.76,0.14
183,portal,0.08,0.11,0.16,0.05,0.08,0.24,0.02,0.03,0.10
186,portion,0.50,0.40,0.48,0.71,0.56,0.26,0.74,0.59,0.59
193,profit,0.15,0.08,0.08,0.67,0.03,0.19,0.21,0.12,0.20
194,produc,0.31,0.39,0.14,0.71,0.25,0.21,0.40,0.09,0.22
195,product,0.61,0.51,0.68,0.69,0.58,0.67,0.79,0.79,0.60
202,profil,0.24,0.31,0.23,0.84,0.28,0.19,0.35,0.18,0.17
208,program,0.75,0.73,0.74,0.97,0.64,0.71,0.84,0.88,0.73
211,programm,0.18,0.19,0.25,0.03,0.25,0.05,0.09,0.03,0.12
225,problem,0.47,0.51,0.32,0.76,0.31,0.36,0.37,0.12,0.24
229,procedur,0.23,0.34,0.21,0.09,0.14,0.36,0.33,0.50,0.22
231,proceed,0.10,0.16,0.16,0.07,0.06,0.14,0.14,0.26,0.08
232,process,0.96,0.98,0.94,0.98,0.89,1.00,0.88,0.97,0.89
235,processor,0.66,0.80,0.84,0.88,0.75,0.76,0.65,0.50,0.69
240,prepaid,0.07,0.14,0.34,0.09,0.11,0.12,0.05,0.21,0.21
242,propag,0.06,0.05,0.16,0.02,0.03,0.02,0.02,0.47,0.06
246,proper,0.18,0.24,0.09,0.03,0.06,0.26,0.07,0.12,0.14
